id,target
0,0
2,1
3,0
9,0
11,1
12,0
21,0
22,1
27,0
29,1
30,0
35,1
42,1
43,1
45,0
46,0
47,0
51,0
58,0
60,0
69,0
70,0
72,1
75,0
84,0
87,0
88,0
90,0
94,0
99,1
101,0
103,0
106,0
108,0
111,1
115,1
116,1
122,0
123,1
124,0
125,0
127,0
140,0
142,1
147,1
148,1
150,1
152,1
154,0
155,0
166,0
167,0
169,0
177,1
179,0
181,1
186,0
188,0
189,1
192,1
200,0
202,0
206,1
207,0
214,0
217,0
223,1
224,1
227,1
228,0
230,0
233,0
234,0
236,0
239,0
250,1
255,0
257,0
259,0
275,0
278,0
282,0
284,1
286,0
288,0
292,0
295,1
300,0
304,0
305,1
306,1
308,1
311,1
317,0
319,0
323,1
324,0
325,0
326,1
333,1
339,0
342,0
343,0
350,0
351,1
357,0
359,0
362,1
366,1
367,0
369,1
373,0
374,0
376,0
377,0
378,0
379,0
382,0
385,0
387,0
388,1
391,0
392,1
395,0
399,0
400,0
403,0
405,1
408,0
411,0
414,0
416,0
417,0
422,1
425,0
428,0
430,0
431,1
433,0
434,0
439,1
441,1
449,0
458,0
460,0
464,0
473,0
488,0
491,1
494,0
497,1
500,1
505,0
507,1
508,0
510,1
511,0
515,0
525,1
529,0
532,1
534,1
537,0
539,0
541,1
545,0
547,1
548,1
549,0
553,0
554,1
555,0
557,0
562,0
566,0
572,0
573,1
582,0
586,0
587,0
590,0
591,0
593,0
595,0
596,0
597,1
601,0
602,1
605,0
610,0
616,0
618,0
620,1
626,1
627,0
629,0
632,1
634,0
639,1
645,0
647,1
648,0
650,1
663,1
666,0
668,1
670,0
673,0
676,1
678,0
692,1
693,0
694,0
695,1
696,1
698,0
701,0
703,1
707,1
708,1
711,0
715,1
718,0
722,0
723,0
733,0
741,1
742,0
743,1
747,0
749,0
750,0
756,0
757,1
760,0
764,0
765,0
766,1
768,0
769,0
771,0
772,1
776,0
778,0
780,0
785,0
789,0
792,1
793,0
811,0
813,1
816,1
821,0
824,1
825,1
827,0
830,0
831,1
839,0
844,0
847,0
850,0
854,0
855,0
858,0
861,0
862,1
865,1
869,0
879,1
880,0
887,0
889,0
897,0
900,0
901,0
904,0
908,0
909,0
910,1
913,0
914,0
917,1
918,0
920,0
922,0
924,1
925,0
927,0
933,0
937,1
943,0
949,0
950,1
954,0
966,0
967,0
969,1
970,1
973,0
975,0
980,1
988,0
989,0
995,1
1000,1
1003,0
1007,1
1011,1
1012,0
1013,0
1014,0
1016,0
1019,0
1025,0
1027,1
1028,1
1030,0
1033,1
1034,0
1039,0
1046,1
1047,0
1053,1
1055,0
1056,1
1059,0
1060,0
1063,0
1064,1
1068,0
1076,0
1086,1
1087,1
1089,0
1092,0
1095,1
1096,0
1097,0
1100,1
1101,0
1107,0
1108,1
1111,1
1115,1
1116,1
1121,1
1125,1
1127,0
1131,0
1133,0
1135,0
1137,1
1140,1
1144,0
1147,1
1148,0
1150,1
1158,0
1159,1
1161,1
1163,0
1165,0
1169,1
1171,1
1172,0
1176,1
1180,1
1184,0
1186,0
1187,0
1192,1
1193,0
1194,1
1197,0
1200,1
1205,1
1210,1
1216,0
1220,0
1231,0
1233,0
1246,0
1247,0
1248,1
1255,0
1256,0
1257,0
1258,1
1260,0
1261,1
1265,0
1266,1
1268,0
1274,0
1281,0
1285,1
1286,1
1291,0
1292,1
1295,0
1299,0
1306,0
1310,0
1311,0
1313,1
1314,0
1322,0
1323,0
1325,1
1329,1
1330,1
1333,0
1336,0
1339,0
1342,0
1344,1
1355,0
1357,0
1358,0
1359,1
1364,0
1366,0
1367,1
1370,0
1373,0
1377,0
1386,1
1387,0
1392,0
1397,0
1398,0
1400,0
1403,0
1404,0
1410,0
1413,1
1416,1
1417,0
1423,0
1424,0
1426,0
1427,0
1428,0
1430,1
1434,1
1435,0
1437,0
1438,1
1442,0
1446,0
1451,0
1457,0
1461,1
1462,1
1465,1
1468,0
1469,1
1471,0
1476,0
1478,1
1481,0
1489,1
1490,1
1492,0
1496,1
1512,0
1516,0
1517,0
1528,0
1529,0
1536,0
1539,0
1541,0
1542,1
1548,0
1550,1
1551,0
1552,1
1557,1
1563,1
1564,1
1565,0
1566,1
1571,0
1578,0
1581,0
1583,0
1584,1
1586,1
1589,0
1592,0
